Clinic_ID,Clinic_Name,Division,Address,Block_House_No,Street_Name,Building_Name,Postal_Code,Phone,Clinic_Type,Operating_Hours,Latitude,Longitude,Distance_From_CBD_km
15M0211,Acumed Medical Group,Joo Koon,1 Joo Koon Circle #01-23 Fairprice Hub,1,Joo Koon Circle,Fairprice Hub,629117,68615755,Medical Clinic,Mon-Fri: 9AM-6PM,1.32562,103.67841,24.2
16M0004,Acumed Medical Group,Tuas,128 Tuas South Avenue 3 #01-03,128,Tuas South Avenue 3,JTC Biomed One @ Tuas Biomedical Park,637370,65701390,Medical Clinic,Mon-Fri: 8AM-5PM,1.28909,103.62652,26.5
21M0229,Advantage Medical Clinic,City,1 Fifth Avenue #03-12 Guthrie House,1,Fifth Avenue,Guthrie House,268802,87840093,Medical Clinic,Mon-Fri: 8AM-6PM,1.33082,103.79569,2.1
19M0160,Affinity Medical Clinic,Serangoon,253 Serangoon Central Drive #01-187,253,Serangoon Central Drive,,550253,62808080,Medical Clinic,Mon-Sat: 8AM-7PM,1.35404,103.87085,6.8
9404401,Allergy Arthritis & Rheumatism Clinic,City,1 Farrer Park Station Road #14-13 Connexion,1,Farrer Park Station Road,Connexion,217562,64749438,Specialist Clinic,Mon-Fri: 9AM-5PM,1.31247,103.85393,2.5
17M0228,Allhealth Family Clinic,Tampines,872C Tampines Street 86 #01-01,872C,Tampines Street 86,,523872,67026467,Medical Clinic,Mon-Fri: 8AM-6PM Sat: 9AM-1PM,1.35523,103.93163,12.4
19M0341,Ally Health,Clementi,46-2 Commonwealth Drive #01-372,46-2,Commonwealth Drive,,140462,66977700,Medical Clinic,Mon-Fri: 8AM-6PM,1.29996,103.79823,8.9
18M0125,Anchor Clinic,Bukit Panjang,8A Pending Road #01-01,8A,Pending Road,Bukit Panjang Plaza,670008,62000123,Medical Clinic,Mon-Fri: 8AM-5:30PM Sat: 8AM-12PM,1.37821,103.78245,11.2
20M0156,Apollo Medical Clinic,Woodlands,634 Woodlands Drive 73 #01-04,634,Woodlands Drive 73,,730634,63141098,Medical Clinic,Mon-Thu: 8:30AM-3PM 6PM-9PM Fri: 8:30AM-3PM,1.43562,103.80125,18.5
15M0045,Arcane Health,Bukit Batok,251 Bukit Batok Street 23 #01-03,251,Bukit Batok Street 23,,650251,62658800,Medical Clinic,Mon-Fri: 8AM-6PM,1.34567,103.74892,10.3
19M0210,Ascent Medical Clinic,Tanjong Pagar,1 Far East Square #01-04,1,Far East Square,Far East Square,048441,64090890,Medical Clinic,Mon-Fri: 8:30AM-5:30PM,1.27433,103.84556,1.8
20M0287,AVA Healthcare Clinic,Chua Chu Kang,1 Chua Chu Kang Loop #01-03,1,Chua Chu Kang Loop,,680001,67695123,Medical Clinic,Mon-Fri: 8AM-6PM Sat: 9AM-1PM,1.39874,103.74521,16.8
21M0089,Beacon Medical Clinic,Bedok,3 Bedok North Road #01-02,3,Bedok North Road,,460003,64412567,Medical Clinic,Mon-Fri: 8AM-5PM,1.32124,103.93214,9.5
19M0298,Bestcare Clinic,Bukit Merah,1 Cantonment Road #01-08,1,Cantonment Road,,140001,65442890,Medical Clinic,Mon-Fri: 8AM-6PM,1.28234,103.81223,3.2
18M0234,Bliss Medical,Hougang,681 Hougang Avenue 8 #01-831,681,Hougang Avenue 8,,530681,68434501,Medical Clinic,24 Hours,1.35687,103.89234,11.2
17M0156,Blue Cross Healthcare,Ang Mo Kio,2 Ang Mo Kio Street 21 #01-02,2,Ang Mo Kio Street 21,,560002,64562123,Medical Clinic,Mon-Fri: 8AM-6PM,1.36892,103.84567,8.7
20M0445,Bright Health Clinic,Pasir Ris,230 Pasir Ris Street 21 #01-404,230,Pasir Ris Street 21,,510230,67842901,Medical Clinic,Mon-Fri: 8AM-7PM Sat: 9AM-2PM,1.37234,103.97456,13.8
19M0067,Brookvale Clinic,Marine Parade,1 Marine Parade Central #01-02,1,Marine Parade Central,,449408,64412890,Medical Clinic,Mon-Fri: 8AM-5PM,1.30124,103.94789,7.2
21M0334,Bukit Panjang Medical Centre,Bukit Panjang,750 Upper Bukit Timah Road #01-05,750,Upper Bukit Timah Road,,670750,68995234,Medical Clinic,Mon-Fri: 8AM-6PM,1.37456,103.77892,12.1
18M0089,Central 24-HR Clinic,Bedok,219 Bedok Central #01-124,219,Bedok Central,,460219,64410999,Medical Clinic,24 Hours,1.32456,103.93445,9.3
18M0091,Central 24-HR Clinic,Geylang,101 Geylang Road #01-02,101,Geylang Road,,389146,66744890,Medical Clinic,24 Hours,1.30234,103.87564,4.5
