Condition,ICD10_Code,Symptoms,Recommended_Specialty,Sub_Specialty,Urgency_Level,Hospital_Type,CHAS_Coverage,Alternative_Specialties,Triage_Color
Acute Chest Pain,I10,Chest pain shortness of breath sweating,Cardiology,Coronary Intervention,CRITICAL,Hospital,Yes,Emergency Medicine,RED
Myocardial Infarction,I21,Severe chest pain radiating to arm,Cardiology,Coronary Intervention,CRITICAL,Hospital,Yes,Emergency Medicine Thoracic Surgery,RED
Heart Failure,I50,Breathlessness fatigue leg swelling,Cardiology,Heart Failure,HIGH,Hospital,Yes,General Practice,YELLOW
Arrhythmia,I48,Palpitations dizziness fainting,Cardiology,Arrhythmia,HIGH,Hospital,Yes,Emergency Medicine,YELLOW
Hypertension,I10,High blood pressure headache,Cardiology,None,MEDIUM,Clinic,Yes,General Practice,GREEN
High Cholesterol,E78,Elevated lipids no symptoms,Cardiology,None,LOW,Clinic,Yes,General Practice,GREEN
Stroke,I63,Facial drooping arm weakness speech difficulty,Neurology,Stroke Medicine,CRITICAL,Hospital,Yes,Emergency Medicine Neurosurgery,RED
Epilepsy,G40,Seizures loss of consciousness,Neurology,Epilepsy,HIGH,Hospital,No,General Practice,YELLOW
Migraine,G43,Severe headache nausea light sensitivity,Neurology,None,MEDIUM,Clinic,Yes,General Practice,GREEN
Parkinson's Disease,G20,Tremor rigidity slow movement,Neurology,Movement Disorders,MEDIUM,Hospital,No,General Practice,GREEN
Dementia,G30,Memory loss confusion behavioral changes,Neurology,Cognitive Disorders,MEDIUM,Hospital,No,General Practice,GREEN
Back Pain,M54,Lower back pain muscle stiffness,Orthopaedic Surgery,Spine Surgery,MEDIUM,Clinic,Yes,General Practice Physiotherapy,GREEN
Knee Injury,M17,Knee pain swelling difficulty walking,Orthopaedic Surgery,Joint Replacement Surgery,MEDIUM,Hospital,No,General Practice,YELLOW
Fractured Bone,S12,Bone pain swelling deformity,Orthopaedic Surgery,Trauma Surgery,HIGH,Hospital,No,Emergency Medicine General Surgery,YELLOW
Arthritis,M19,Joint pain stiffness inflammation,Rheumatology,None,MEDIUM,Clinic,Yes,General Practice Orthopaedic Surgery,GREEN
Lupus,M32,Joint pain rash fever fatigue,Rheumatology,Systemic Lupus Erythematosus,MEDIUM,Hospital,No,General Practice,YELLOW
Asthma,J45,Shortness of breath wheezing cough,Respiratory Medicine,Asthma,MEDIUM,Clinic,Yes,General Practice Emergency Medicine,YELLOW
Pneumonia,J18,Cough fever chest pain shortness of breath,Respiratory Medicine,Infection Control,HIGH,Hospital,Yes,Emergency Medicine General Practice,YELLOW
COPD,J44,Chronic cough shortness of breath,Respiratory Medicine,Chronic Disease,MEDIUM,Clinic,Yes,General Practice,GREEN
Tuberculosis,A15,Persistent cough blood in sputum fever,Respiratory Medicine,Infection Control,HIGH,Hospital,No,General Practice Infectious Diseases,YELLOW
Diabetes Type 1,E10,Excessive thirst urination weight loss,Endocrinology,Diabetes Mellitus,MEDIUM,Clinic,Yes,General Practice,GREEN
Diabetes Type 2,E11,Fatigue blurred vision infections,Endocrinology,Diabetes Mellitus,MEDIUM,Clinic,Yes,General Practice,GREEN
Thyroid Disorder,E03,Fatigue weight gain cold sensitivity,Endocrinology,None,MEDIUM,Clinic,Yes,General Practice,GREEN
Acute Gastroenteritis,A09,Diarrhea vomiting abdominal pain,Gastroenterology,None,MEDIUM,Clinic,Yes,Emergency Medicine General Practice,YELLOW
GERD,K21,Acid reflux heartburn chest discomfort,Gastroenterology,Endoscopy,MEDIUM,Clinic,Yes,General Practice,GREEN
Peptic Ulcer,K25,Abdominal pain nausea vomiting,Gastroenterology,Endoscopy,MEDIUM,Clinic,Yes,General Practice,YELLOW
Hepatitis,B19,Jaundice fatigue abdominal pain,Gastroenterology,Hepatology,HIGH,Hospital,No,Infectious Diseases,YELLOW
Cirrhosis,K74,Jaundice ascites bleeding,Gastroenterology,Hepatology,CRITICAL,Hospital,No,General Surgery,RED
Kidney Stone,N20,Severe flank pain hematuria,Nephrology,Renal Pathology,MEDIUM,Hospital,No,Urology Emergency Medicine,YELLOW
