Case_Type,Case_Category,Urgency,Specialist_MCR,Specialist_Name,Primary_Institution,Secondary_Institutions,Police_Report,Medical_Evidence,Chain_of_Custody,Court_Testimony_Required,Police_Contact,Hospital_Contact,Emergency_Number,Special_Requirements,Turnaround_Time,Appointment_Type,Documentation_Type
Assault Physical,Criminal Violence,CRITICAL,"M001279,M001291,M001292","Dr Jasmine Lim, Dr Julia Robertson, Dr Edward Brown",Singapore General Hospital,"Changi General Hospital, National University Hospital",Required,Photographs injury documentation forensic swabs,Yes,Yes,999 or 6325-5000,65321234,999,Injury photography baseline STI testing ,60-90 minutes,Immediate Emergency,Medical certificate police report injury assessment
Sexual Assault,Criminal Violence,CRITICAL,"M001242,M001273,M001290","Dr Susan Lee, Dr Catherine Young, Dr Isabella Perez",KK Women's and Children's Hospital,"Singapore General Hospital, Changi General Hospital",Required,PASE kit DNA collection forensic swabs genital examination,Yes,Yes,999 or 6258-4333,63942000,999,Specialist sexual assault examination trained staff confidentiality,120-150 minutes,Immediate Emergency,Medical certificate evidence kit STI testing forensic report
Child Abuse,Criminal Abuse,CRITICAL,"M001237,M001248,M001263","Dr Wong Li Teng, Dr Nelson Grace, Dr Olivia Ng",KK Women's and Children's Hospital,"Changi General Hospital, Singapore General Hospital",Required,Injury pattern assessment developmental examination skeletal survey,Yes,Yes,1800-777-0000 or 999,63942000,999,Child protection assessment fracture analysis retinal photography,90-120 minutes,Immediate Emergency,Medical certificate child protection report assessment documentation
Domestic Violence,Criminal Violence,HIGH,"M001279,M001291","Dr Jasmine Lim, Dr Julia Robertson",Singapore General Hospital,"Changi General Hospital, National University Hospital",Required,Injury documentation trauma assessment photographic evidence,Yes,Yes,999 or 6292-2022,65321234,999,Confidential assessment safety planning victim support referral,60-90 minutes,Urgent,Medical certificate police report injury documentation
Road Traffic Accident,Civil/Criminal,HIGH,"M001236,M001268,M001291","Dr Jian Hao Loh, Dr Michael Davis, Dr Ethan Quinn",Singapore General Hospital,"Changi General Hospital, National University Hospital",Required,Imaging assessment injury documentation toxicology alcohol testing,Yes,Yes,999,65321234,999,Comprehensive injury assessment toxicology report accident reconstruction,90-120 minutes,Urgent Emergency,Medical certificate police report comprehensive assessment
Workplace Injury,Civil/Criminal,HIGH,"M001235,M001279,M001291","Dr Patricia Jacobs, Dr Jasmine Lim, Dr Julia Robertson",Singapore General Hospital,"Changi General Hospital, National University Hospital",Required,Injury assessment causation documentation MOH reporting,Yes,Yes,6317-1919 or 999,65321234,999,Occupational health assessment worker compensation form,60-90 minutes,Urgent,Medical certificate MOH report assessment documentation
Poisoning Accidental,Medical Toxicology,HIGH,"M001279,M001291,M001292","Dr Jasmine Lim, Dr Julia Robertson, Dr Edward Brown",Singapore General Hospital,"Changi General Hospital, Tan Tock Seng Hospital",No,"Toxicology blood urine samples poison identification",Yes,No,1800-6363 (Poison Control),65321234,999,Poison control consultation toxicology analysis decontamination,120-180 minutes,Urgent Emergency,Medical certificate toxicology report poison control documentation
Poisoning Intentional,Criminal/Medical,CRITICAL,"M001240,M001254,M001270,M001279","Dr Wong Fiona, Dr Angela Chua, Dr James Foster, Dr Jasmine Lim",Institute of Mental Health,"Singapore General Hospital, Tan Tock Seng Hospital",Required,"Toxicology analysis psychiatric assessment blood samples",Yes,Yes,999,65389000 or 65321234,999,Psychiatric assessment toxicology analysis suicide prevention,120-180 minutes,Immediate Emergency,Medical certificate toxicology psychiatric report police report
Sudden Death Unexplained,Medicolegal,CRITICAL,"M001293","Dr Ryan Scott",Institute of Forensic Medicine,"Singapore General Hospital, Coroner's Court",Conditional,"Autopsy pathology examination toxicology",Yes,No,6223-5000 (Coroner),6223-5000,999,Autopsy report coroner determination cause of death,Variable,Urgent,Coroner's report autopsy findings pathology examination
Unidentified Body,Medicolegal,CRITICAL,"M001293","Dr Ryan Scott",Institute of Forensic Medicine,"Police CID, Coroner's Court",Yes,"DNA analysis dental examination facial reconstruction",Yes,No,6223-5000 Coroner 999 Police,6223-5000,999,DNA database search dental records comparison identification process,Weeks-Months,Urgent Investigation,Coroner's report identification findings DNA analysis results
Rape,Criminal Violence,CRITICAL,"M001242,M001273,M001290","Dr Susan Lee, Dr Catherine Young, Dr Isabella Perez",KK Women's and Children's Hospital,"Singapore General Hospital, Changi General Hospital",Required,"Genital examination semen collection DNA testing STI screening",Yes,Yes,999 or 6258-4333,63942000,999,Specialist sexual assault trained staff confidentiality evidence kit,120-150 minutes,Immediate Emergency,Medical certificate PASE kit forensic report STI results
Attempted Murder,Criminal Violence,CRITICAL,"M001268,M001279,M001291","Dr Michael Davis, Dr Jasmine Lim, Dr Julia Robertson",Singapore General Hospital,"Changi General Hospital, National University Hospital",Required,"Detailed injury assessment imaging toxicology comprehensive documentation",Yes,Yes,999,65321234,999,Comprehensive injury documentation toxicology investigation imaging,90-120 minutes,Immediate Emergency,Medical certificate police report injury documentation forensic assessment
