Condition,Primary_Specialty,Sub_Specialty,Urgency,Recommended_Hospital_Type,CHAS_Coverage,Doctor_MCR_Examples,Hospital_Names,Clinic_Names,Contact_Strategy,Response_Time,Triage_Color,Wait_Time_Expected
Acute Chest Pain,Cardiology,Coronary Intervention,CRITICAL,Hospital,Yes,"M001234,M001272,M001289",National Heart Centre Singapore;Singapore General Hospital;Changi General Hospital,Central 24-Hour Clinic;Healthway Medical,Call 995 or go to nearest Emergency Department,Immediate,RED,<5 minutes
Myocardial Infarction,Cardiology,Coronary Intervention,CRITICAL,Hospital,Yes,"M001234,M001272",National Heart Centre Singapore;Singapore General Hospital,Emergency Only,Call 995 immediately,Immediate,RED,<2 minutes
Heart Failure,Cardiology,Heart Failure,HIGH,Hospital,Yes,"M001234,M001289",National Heart Centre Singapore;Changi General Hospital;Tan Tock Seng Hospital,Ally Health;Essential Family Clinic,Call clinic or go to hospital,Within 1 hour,YELLOW,2-4 hours
Arrhythmia,Cardiology,Arrhythmia,HIGH,Hospital,Yes,"M001234,M001272",National Heart Centre Singapore;Singapore General Hospital,Central 24-Hour Clinic,Same-day appointment,Within 2 hours,YELLOW,2-4 hours
Hypertension,Cardiology,None,MEDIUM,Clinic,Yes,"M001235,M001275,M001281",Any Polyclinic; Changi General Hospital,Ally Health;Essential Family Clinic Woodlands;Acumed Medical,Book appointment,Within 1 week,GREEN,1-2 hours
Stroke,Neurology,Stroke Medicine,CRITICAL,Hospital,Yes,"M001252,M001253",National Neuroscience Institute;Singapore General Hospital;Changi General Hospital,Emergency Only,Call 995 immediately,RED,<5 minutes
Epilepsy,Neurology,Epilepsy,HIGH,Hospital,No,"M001252,M001276",National Neuroscience Institute;Singapore General Hospital;Tan Tock Seng Hospital,Central 24-Hour Clinic,Call hospital neurology department,Within 4 hours,YELLOW,4-8 hours
Migraine,Neurology,None,MEDIUM,Clinic,Yes,"M001286,M001275",Polyclinics;Changi General Hospital;Tan Tock Seng Hospital,Ally Health;Essential Family Clinic,Book appointment,Within 3-5 days,GREEN,1-2 hours
Back Pain,Orthopaedic Surgery,Spine Surgery,MEDIUM,Hospital,Yes,"M001236,M001269",Changi General Hospital;Singapore General Hospital;National University Hospital,Ally Health;Essential Family Clinic,Book appointment or walk-in,Within 2-3 days,GREEN,2-4 hours
Knee Injury,Orthopaedic Surgery,Joint Replacement,MEDIUM,Hospital,No,"M001236,M001269",Singapore General Hospital;Changi General Hospital;Raffles Hospital,Sports Medicine Clinics,Call for same-day appointment,Within 1 day,YELLOW,1-3 hours
Fractured Bone,Orthopaedic Surgery,Trauma Surgery,HIGH,Hospital,No,"M001236,M001269",Singapore General Hospital;Changi General Hospital;National University Hospital,Emergency Department,Go to Emergency Department,Immediate,YELLOW,<30 minutes
Arthritis,Rheumatology,None,MEDIUM,Clinic,Yes,"M001287,M001288",Polyclinics;Tan Tock Seng Hospital;Changi General Hospital,Family Care Centre;Ally Health,Book appointment,Within 1-2 weeks,GREEN,2-3 hours
Lupus,Rheumatology,Systemic Lupus,MEDIUM,Hospital,No,"M001287",Tan Tock Seng Hospital;Changi General Hospital;National University Hospital,Rheumatology Clinics,Book appointment,Within 1 week,YELLOW,2-4 hours
Asthma,Respiratory Medicine,Asthma,MEDIUM,Clinic,Yes,"M001277,M001279",Polyclinics;Changi General Hospital;Tan Tock Seng Hospital,Ally Health;Essential Family Clinic,Book appointment,Within 3-5 days,YELLOW,1-2 hours
Pneumonia,Respiratory Medicine,Infection Control,HIGH,Hospital,Yes,"M001277,M001279",Tan Tock Seng Hospital;Changi General Hospital;Singapore General Hospital,Central 24-Hour Clinic,Go to Emergency or call doctor,Within 2-4 hours,YELLOW,<2 hours
COPD,Respiratory Medicine,Chronic Disease,MEDIUM,Clinic,Yes,"M001277,M001284",Polyclinics;Changi General Hospital;Tan Tock Seng Hospital,Essential Family Clinic;Ally Health,Book appointment,Within 1 week,GREEN,2-3 hours
Diabetes Type 1,Endocrinology,Diabetes Mellitus,MEDIUM,Clinic,Yes,"M001254",Polyclinics;Changi General Hospital;National University Hospital,Family Care Centre;Ally Health,Book appointment,Within 1 week,GREEN,1-2 hours
Diabetes Type 2,Endocrinology,Diabetes Mellitus,MEDIUM,Clinic,Yes,"M001254",Polyclinics;Changi General Hospital;National University Hospital,Ally Health;Essential Family Clinic,Book appointment,Within 1-2 weeks,GREEN,1-2 hours
Thyroid Disorder,Endocrinology,None,MEDIUM,Clinic,Yes,"M001254",Polyclinics;National University Hospital;Changi General Hospital,Family Care Centre;Ally Health,Book appointment,Within 1-2 weeks,GREEN,1-2 hours
Acute Gastroenteritis,Gastroenterology,None,MEDIUM,Clinic,Yes,"M001264,M001278",Polyclinics;Changi General Hospital;Singapore General Hospital,Central 24-Hour Clinic;Ally Health,Call doctor or go to clinic,Within 2-4 hours,YELLOW,1-2 hours
GERD,Gastroenterology,Endoscopy,MEDIUM,Clinic,Yes,"M001264,M001278",Polyclinics;Changi General Hospital;Singapore General Hospital,Essential Family Clinic;Ally Health,Book appointment,Within 1-2 weeks,GREEN,2-3 hours
Peptic Ulcer,Gastroenterology,Endoscopy,MEDIUM,Clinic,Yes,"M001264,M001278",Polyclinics;Changi General Hospital,Ally Health;Essential Family Clinic,Book appointment,Within 3-5 days,YELLOW,1-2 hours
Hepatitis,Gastroenterology,Hepatology,HIGH,Hospital,No,"M001264",Tan Tock Seng Hospital;Singapore General Hospital;National University Hospital,Infectious Diseases Clinic,Call hospital,Within 2-4 hours,YELLOW,1-2 hours
Kidney Stone,Nephrology,Renal Pathology,MEDIUM,Hospital,No,"M001245,M001266",National Kidney Foundation;Singapore General Hospital;Changi General Hospital,Urology Clinic,Go to Emergency or call doctor,Within 2-4 hours,YELLOW,1-2 hours
Chronic Kidney Disease,Nephrology,None,MEDIUM,Clinic,Yes,"M001245,M001266",National Kidney Foundation;Polyclinics;Changi General Hospital,Essential Family Clinic;Ally Health,Book appointment,Within 1-2 weeks,GREEN,1-2 hours
Acute Kidney Injury,Nephrology,None,CRITICAL,Hospital,No,"M001245,M001266",National Kidney Foundation;Singapore General Hospital;Changi General Hospital,Emergency Department,Go to Emergency Department,Immediate,RED,<10 minutes
Prostate Cancer,Urology,Uro-Oncology,HIGH,Hospital,No,"M001260,M001266",Singapore General Hospital;National Cancer Centre;National University Hospital,Urology Clinic,Call hospital,Within 1-2 days,YELLOW,2-4 hours
Benign Prostatic Hyperplasia,Urology,None,MEDIUM,Clinic,No,"M001260,M001266",Polyclinics;Changi General Hospital;Singapore General Hospital,Urology Clinic,Book appointment,Within 1-2 weeks,GREEN,1-2 hours
Urinary Tract Infection,Urology,None,MEDIUM,Clinic,Yes,"M001260,M001275",Polyclinics;Changi General Hospital,Ally Health;Essential Family Clinic,Book appointment or walk-in,Within 2-4 hours,GREEN,1-2 hours
Breast Cancer,Oncology,Breast Oncology,HIGH,Hospital,No,"M001283",National Cancer Centre Singapore;Singapore General Hospital;Mount Elizabeth,Oncology Clinic,Call hospital,Within 1-2 days,YELLOW,2-4 hours
Lung Cancer,Oncology,Respiratory Oncology,HIGH,Hospital,No,"M001283",National Cancer Centre Singapore;Singapore General Hospital;National University Hospital,Oncology Clinic,Call hospital,Within 1-2 days,YELLOW,2-4 hours
Depression,Psychiatry,None,MEDIUM,Clinic,Yes,"M001254,M001270",Institute of Mental Health;Polyclinics;Tan Tock Seng Hospital,Psychiatric Clinic;Counselling Services,Book appointment,Within 1-2 weeks,YELLOW,2-4 hours
