Case_Type,Case_Category,Medical_Evidence_Required,Injury_Type,Severity,Documentation_Required,Reporting_Authority,Hospital_Department,Specialist_Required,Police_Report_Needed,Urgent_Examination,Medical_Examiner_Required,Evidence_Preservation,Chain_of_Custody,Timeline_Critical,Photos_Required,Sample_Collection,Forensic_Lab_Required,Court_Testimony_Required,MCR_Examples,Institution_Recommendations,Contact_Details,Procedure_Time_Minutes
Assault Physical,Criminal Violence,Injury documentation physical examination,Bruises lacerations fractures,Variable,Medical certificate police report photographs,Singapore Police Force,Emergency Medicine Trauma Centre,Forensic Pathologist Trauma Surgeon,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,"M001279,M001291,M001292",Singapore General Hospital;Changi General Hospital,Assault Hotline 1800-372-2200,60-90
Sexual Assault,Criminal Violence,Genital trauma toxicology drug screening,Genital injuries trauma PTSD,High,Medical certificate evidence kit STI testing,Singapore Police Force Specialist Centre,Emergency Medicine Gynaecology,Forensic Gynaecologist Sexual Assault Specialist,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"M001242,M001273,M001290",KK Women's and Children's Hospital;Changi General Hospital,Specialist Centre: 6258-4333,120-150
Child Abuse,Criminal Abuse,Injury pattern documentation developmental assessment,Fractures bruises abdominal injuries,Variable,Medical certificate child protection assessment,Ministry of Social and Family Development Police,Paediatrics Child Protection Team,Child Abuse Specialist Paediatrician,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,"M001237,M001248,M001263",KK Women's and Children's Hospital;Changi General Hospital,Child Protection Hotline: 1800-777-0000,90-120
Domestic Violence,Criminal Violence,Injury documentation trauma assessment,Bruises fractures lacerations,Variable,Medical certificate shelter documentation,Singapore Police Force Women's Crisis Centre,Emergency Medicine Trauma,Trauma Surgeon,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,"M001279,M001291",Singapore General Hospital;Changi General Hospital,Women's Crisis Centre: 6292-2022,60-90
Road Traffic Accident,Civil/Criminal,Injury documentation imaging toxicology,Multiple trauma fractures internal bleeding,Variable,Medical certificate police report imaging,Singapore Police Force,Emergency Medicine Trauma,Trauma Surgeon Orthopedic Surgeon,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,"M001236,M001268,M001291",Singapore General Hospital;Changi General Hospital,Police: 999,90-120
Workplace Injury,Civil/Criminal,Injury documentation causation assessment,Traumatic injury burns chemical exposure,Variable,Medical certificate MOM report workers comp form,Ministry of Manpower,Emergency Medicine Occupational Medicine,Occupational Medicine Specialist Trauma Surgeon,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,"M001235,M001279,M001291",Singapore General Hospital;Changi General Hospital,MOM: 6317-1919,60-90
Poisoning Accidental,Medical Toxicology,Toxicology analysis blood urine stomach contents,Overdose ingestion exposure,Variable,Medical certificate poison control documentation,Poison Control Centre,Emergency Medicine Toxicology,Medical Toxicologist,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,"M001279,M001291,M001292",Singapore General Hospital;Changi General Hospital,Poison Control: 1800-6363,120-180
Poisoning Intentional,Criminal/Medical,Toxicology analysis psychiatric assessment,Intentional poisoning overdose substance abuse,High,Medical certificate psychiatric report police report,Singapore Police Force,Emergency Medicine Psychiatry Toxicology,Forensic Psychiatrist Medical Toxicologist,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"M001240,M001254,M001270,M001279",Institute of Mental Health;Singapore General Hospital,Police: 999 or IMH: 6389-2000,120-180
Sudden Death Unexplained,Medicolegal,Autopsy pathology toxicology,Natural death suspicious circumstances,Critical,Coroner's report pathology examination,Coroner's Court,Forensic Pathology,Forensic Pathologist,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,"M001293,M001293",Singapore General Hospital Mortuary;Institute of Forensic Medicine,Coroner's Office: 6223-5000,Depends on autopsy
Unidentified Body,Medicolegal,DNA analysis facial reconstruction dental examination,Decomposed remains trauma,Critical,Coroner's report forensic examination,Police Criminal Investigation Division,Forensic Pathology,Forensic Pathologist DNA Specialist,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,"M001293",Institute of Forensic Medicine,Coroner's Office: 6223-5000,Weeks-Months
Rape,Criminal Violence,Genital trauma semen collection DNA,Genital injuries trauma,High,Medical certificate evidence kit STI testing,Singapore Police Force,Gynaecology Emergency Medicine,Forensic Gynaecologist,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"M001242,M001273,M001290",KK Women's and Children's Hospital;Changi General Hospital,Specialist Centre: 6258-4333,120-150
Attempted Murder,Criminal Violence,Injury documentation toxicology,Multiple trauma stab wounds gunshot,Critical,Medical certificate police report detailed examination,Singapore Police Force,Emergency Medicine Trauma ICU,Trauma Surgeon Emergency Physician,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"M001268,M001279,M001291",Singapore General Hospital;Changi General Hospital,Police: 999,90-120
Homicide,Criminal,Autopsy toxicology wound analysis,Variable severe,Critical,Coroner's report pathology findings,Police Criminal Investigation Division,Forensic Pathology,Forensic Pathologist,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"M001293",Institute of Forensic Medicine,Police: 999 Coroner: 6223-5000,Weeks
